896.819610549;57.4698884473
942.690717274;58.3870633951
988.989642874;53.7809939492
1032.91448688;57.1999576173
1059.83954887;61.0263133171
1095.37508735;64.4196294383
1117.27084147;60.247748772
1145.59899817;65.3604784629
1170.72881414;66.540280258
1191.27438631;75.3963821752
1207.51421408;78.4916143886
1223.4472783;79.0239260827
1244.17863506;86.4573783626
1260.98416591;83.7536313218
1274.35919414;84.6685966414
1288.33942519;87.2424457375
1299.72816479;86.759346092
1310.86927016;88.0168384315
1322.19124759;91.6576599535
1332.5723088;93.5265585073
1340.19556904;94.6772791866
1346.79792581;95.4484288694
1352.67795655;96.5892935242
1362.16740457;102.350914012
1367.21492848;102.465034827
1369.84501518;102.333227961
1372.28879191;101.816758764
1376.07666316;102.514876644
1380.58827365;102.920597333
1383.09868338;102.925720291
1385.75693599;104.572170489
1388.74748079;103.852450767
1393.20010346;104.627730429
1396.38302359;105.228326777
1399.05054146;105.549813263
1401.03303599;107.523419003
1403.45557252;109.006639349
1404.70617542;109.134122478
1405.90838769;110.613125003
1407.53577802;110.415119924
1407.83721447;110.429739128
1409.38945637;111.159985154
1411.8778174;112.749926136
1413.7290905;114.554410112
1414.19522688;114.629573025
1414.72774888;115.528681505
1415.97861052;117.259544986
1416.74959331;117.401942709
1417.8354946;117.78607234
1418.37784165;117.340345348
1418.45145332;117.356012041
1419.19994187;117.43913224
1419.39654158;117.529940745
1420.17387461;117.22994494
1420.17724467;117.231359848
1421.86590705;118.288293824
1422.27238233;118.041000918
1422.27238233;118.041000918
1423.13655339;118.56972793
1423.45383226;118.690147091
1423.50906786;118.756714066
1424.07209779;119.239306662
1424.07209779;119.239306662
1424.56980835;119.120603805
1424.61055102;119.115393892
1425.16342174;119.485384321
1425.56170504;119.501279997
1425.62660805;119.537159073
1425.62660805;119.537159073
1425.81916073;119.400646393
1426.17616135;119.684731026
1426.22970984;119.660249474
1426.28636817;119.710054234
1426.2960025;119.71865181
1426.2960025;119.71865181
1426.2960025;119.71865181
1426.2960025;119.71865181
1426.2960025;119.71865181
1426.2960025;119.71865181
1426.50705178;119.819609561
1426.52720074;119.837415771
1426.52720074;119.837415771
1426.62835938;119.810685524
1426.62835938;119.810685524
1427.19850515;119.738257517
1428.29474441;119.754361615
1428.29474441;119.754361615
1428.29474441;119.754361615
1428.29474441;119.754361615
1428.4154173;119.862716214
1428.4154173;119.862716214
1428.53399678;119.974889401
1428.53399678;119.974889401
1428.53399678;119.974889401
1428.67613761;120.066279785
1428.67613761;120.066279785
1428.67613761;120.066279785
1428.67613761;120.066279785
1428.67883879;120.067839557
1428.67883879;120.067839557
1428.67883879;120.067839557
