883.24405106;67.7947376018
973.813050177;60.1311103439
1015.08017511;59.3481880388
1059.73462241;71.4882050315
1100.13320209;68.6386979113
1126.39203859;63.8444865018
1157.34455164;60.0044529285
1191.71015558;69.7364284123
1214.08445616;74.0902261766
1226.96152966;76.1026868956
1251.50893086;77.8976068816
1272.04424398;78.7224235571
1290.65550213;80.6513646028
1303.12964271;80.9323610169
1324.92751787;87.1997911191
1350.84017819;85.4420822492
1372.50790675;89.5396555639
1392.62262393;84.0428441751
1411.50240333;89.7850606542
1423.00735223;97.4416457257
1438.68705149;100.307689514
1456.63914268;104.67974953
1471.9474798;111.031844398
1484.78607412;113.114842131
1492.97480188;115.820674506
1503.49706352;119.07647054
1512.93082713;121.392849709
1522.85537945;126.905952994
1531.5695495;128.141508459
1538.5802131;132.259567347
1548.55844552;136.883526767
1562.70714307;138.790790645
1569.89824077;142.472297853
1580.05514256;152.813292927
1590.07165098;160.629441793
1594.86396521;161.252002549
1600.63094992;166.474252151
1610.7884295;170.31782519
1615.70798832;172.355478608
1622.38124799;175.124137716
1626.41906705;176.067937657
1628.4363864;175.826351614
1631.50860682;176.678931002
1635.95597412;181.044362945
1638.57551003;180.470582478
1641.08656784;180.962874346
1645.3800766;185.091947538
1647.67191706;185.91782473
1651.03044179;186.427799675
1653.45076795;187.049830573
1653.65617734;187.070574625
1656.1248732;188.4346595
1660.93002691;188.963824546
1661.62209047;188.877125232
1662.87170687;189.073482672
1665.23953652;189.828652226
1667.73183989;190.044568307
1667.92082275;190.174717181
1668.74338725;190.087242074
1670.98115342;190.758873517
1671.48210562;190.842297549
1673.049193;190.910930344
1674.53501869;191.874252591
1675.10620432;191.710020387
1675.23595324;191.673351861
1675.70895336;191.580992199
1677.131881;192.947137788
1679.71687643;193.426530414
1680.98344167;193.963949298
1681.50860029;194.199957679
1683.61857369;195.754814066
1684.13361806;195.802317764
1684.63246663;195.759925967
1684.99648216;195.768189247
1687.43713198;197.167236606
1688.38295073;197.034569185
1688.87422101;197.187550256
1688.87422101;197.187550256
1689.30374909;196.970763059
1689.77032837;196.911069641
1692.3621912;195.199982122
1692.46548889;195.048528642
1692.86313022;195.321136732
1693.85331506;194.699302867
1695.53602004;194.105905698
1697.03320362;193.557098344
1697.37830364;193.515279405
1697.54787959;193.467326252
1698.64562054;193.74018968
1699.08416683;194.370511741
1699.58722403;194.214794317
1699.723572;194.286843452
1701.31471937;196.615962935
1701.31471937;196.615962935
1701.86053519;196.830723799
1702.19319186;196.641490814
1703.37298545;196.339643383
1703.40197246;196.381680197
1703.40197246;196.381680197
1703.7766202;196.177363396
1703.7766202;196.177363396
